Date,Open,High,Low,Close,Adj Close,Volume
2002-07-30,81.750000,81.900002,81.519997,81.519997,39.599445,6100
2002-07-31,81.949997,82.800003,81.900002,82.529999,40.090069,29400
2002-08-01,82.540001,83.019997,82.540001,83.000000,40.318378,25000
2002-08-02,83.160004,84.099998,82.879997,83.849998,40.731236,52800
2002-08-05,84.040001,84.440002,83.849998,84.220001,40.911018,61100
2002-08-06,83.870003,83.900002,83.220001,83.500000,40.561253,64900
2002-08-07,83.599998,84.139999,83.360001,83.699997,40.658405,40300
2002-08-08,83.580002,83.769997,83.360001,83.699997,40.658405,40900
2002-08-09,84.000000,84.879997,84.000000,84.879997,41.231606,35900
2002-08-12,85.300003,86.699997,85.139999,85.400002,41.484188,32100
2002-08-13,85.779999,86.470001,85.370003,86.449997,41.994232,75400
2002-08-14,87.459999,87.900002,86.750000,86.779999,42.154572,130000
2002-08-15,86.379997,86.500000,85.849998,86.019997,41.785393,87100
2002-08-16,86.440002,86.519997,84.820000,85.059998,41.319027,85000
2002-08-19,85.050003,85.339996,84.709999,85.320000,41.445332,47300
2002-08-20,85.620003,86.290001,85.599998,86.269997,41.906796,40800
2002-08-21,85.680000,86.099998,85.629997,85.809998,41.683353,40000
2002-08-22,85.550003,85.550003,85.059998,85.059998,41.319027,34400
2002-08-23,85.199997,85.949997,85.199997,85.900002,41.727070,20100
2002-08-26,85.699997,86.209999,85.669998,85.980003,41.765903,23900
2002-08-27,85.400002,85.680000,85.199997,85.440002,41.503635,301800
2002-08-28,86.040001,86.180000,85.839996,85.870003,41.712517,18100
2002-08-29,86.760002,86.860001,86.349998,86.559998,42.047676,135700
2002-08-30,86.750000,87.129997,86.449997,87.080002,42.300289,78100
2002-09-03,87.080002,88.040001,87.000000,88.040001,42.950615,102100
2002-09-04,88.029999,88.300003,87.839996,88.019997,42.940830,66300
2002-09-05,88.570000,88.650002,87.379997,88.500000,43.174999,648400
2002-09-06,87.970001,88.190002,87.199997,87.459999,42.667633,140000
2002-09-09,87.500000,87.830002,87.260002,87.330002,42.604218,83800
2002-09-10,87.169998,88.000000,87.000000,87.750000,42.809078,336000
2002-09-11,87.000000,87.300003,86.750000,87.290001,42.584698,177700
2002-09-12,87.480003,88.139999,87.470001,87.970001,42.916451,43400
2002-09-13,88.330002,88.940002,88.180000,88.779999,43.311600,155100
2002-09-16,89.199997,89.220001,88.900002,88.930000,43.384777,73000
2002-09-17,88.639999,89.320000,88.360001,89.099998,43.467705,75400
2002-09-18,89.160004,89.559998,89.019997,89.120003,43.477467,196600
2002-09-19,89.699997,89.769997,89.260002,89.720001,43.770210,109900
2002-09-20,89.449997,89.519997,89.059998,89.300003,43.565277,113500
2002-09-23,90.000000,90.239998,89.769997,90.099998,43.955551,163200
2002-09-24,90.300003,90.940002,90.209999,90.680000,44.238537,251900
2002-09-25,90.099998,90.360001,89.260002,89.580002,43.701897,127200
2002-09-26,89.050003,89.529999,88.610001,89.370003,43.599480,429000
2002-09-27,89.529999,90.040001,89.480003,90.040001,43.926331,298200
2002-09-30,90.660004,90.900002,90.080002,90.400002,44.101894,297800
2002-10-01,89.160004,89.300003,88.800003,88.940002,43.554913,257500
2002-10-02,89.239998,89.480003,88.839996,89.449997,43.804672,91000
2002-10-03,89.300003,89.510002,88.800003,89.230003,43.696941,29900
2002-10-04,88.400002,89.720001,88.400002,89.510002,43.834076,131000
2002-10-07,89.900002,89.959999,89.459999,89.660004,43.907494,433800
2002-10-08,89.500000,90.519997,89.360001,89.690002,43.922180,530900
2002-10-09,90.300003,90.379997,89.949997,90.150002,44.147503,402900
2002-10-10,90.169998,90.169998,89.279999,89.440002,43.799809,97100
2002-10-11,89.099998,89.220001,88.059998,88.379997,43.280666,421800
2002-10-14,88.500000,88.550003,88.070000,88.250000,43.217030,18300
2002-10-15,87.000000,87.300003,86.150002,86.160004,42.193535,297100
2002-10-16,86.599998,86.599998,85.889999,86.199997,42.213131,125200
2002-10-17,85.139999,85.559998,85.070000,85.150002,41.698891,233400
2002-10-18,85.019997,85.389999,84.279999,85.370003,41.806637,459100
2002-10-21,85.500000,85.599998,84.500000,84.540001,41.400188,134900
2002-10-22,84.849998,84.849998,84.220001,84.300003,41.282692,205000
